,0,1
0,878870873.6,2022-06-01
1,971269921.4,2022-03-01
2,1230772417,2021-12-01
3,1081887472,2021-09-01
4,1108767768,2021-06-01
5,913004540.8,2021-03-01
6,972204832.4,2020-12-01
7,844098565.1,2020-09-01
8,757432361.4,2020-06-01
9,789916947.5,2020-03-01
10,846196048.7,2019-12-01
11,769480854.6,2019-09-01
12,745722702.4,2019-06-01
13,702854493,2019-03-01
14,572862379,2018-12-01
15,776309613.3,2018-09-01
16,727878891.9,2018-06-01
17,730639455.6,2018-03-01
18,371275998,2017-12-01
19,617581189.9,2017-09-01
20,563414215.3,2017-06-01
21,594784546.8,2017-03-01
22,615033153.8,2016-12-01
23,515684775.6,2016-09-01
24,431517616.1,2016-06-01
25,490404818,2016-03-01
26,544976117.4,2015-12-01
27,497223883,2015-09-01
28,391359690.7,2015-06-01
29,488406767.6,2015-03-01
30,536612383.3,2014-12-01
31,515231030.3,2014-09-01
32,494404276.3,2014-06-01
33,472246912.2,2014-03-01
34,558479394.7,2013-12-01
35,450213879.4,2013-09-01
36,466360752.3,2013-06-01
37,454872872.5,2013-03-01
38,469914760.9,2012-12-01
39,429266901.6,2012-09-01
40,390090130.6,2012-06-01
41,450139499.6,2012-03-01
42,498846050.1,2011-12-01
43,424436471.8,2011-09-01
44,446721163.3,2011-06-01
45,464152879.6,2011-03-01
46,472303719.4,2010-12-01
47,446450562,2010-09-01
48,402156678.2,2010-06-01
49,428676927.4,2010-03-01
50,420111125.6,2009-12-01
51,335462428.4,2009-09-01
52,274212017.9,2009-06-01
53,270148754.2,2009-03-01
54,291527841.5,2008-12-01
55,270745322.8,2008-09-01
56,362089220.8,2008-06-01
57,388180616.1,2008-03-01
58,408327794.4,2007-12-01
59,371879233.3,2007-09-01
60,335700669,2007-06-01
61,391693320.4,2007-03-01
62,337976483.8,2006-12-01
63,367619044.4,2006-09-01
64,322239463,2006-06-01
65,330455423.5,2006-03-01
66,348242221.6,2005-12-01
67,323656229.2,2005-09-01
68,326747779.2,2005-06-01
69,314814447.3,2005-03-01
70,434700664.5,2004-12-01
71,319247811.2,2004-09-01
72,309374995.9,2004-06-01
73,294519573.5,2004-03-01
74,246184849.3,2003-12-01
75,339849523.2,2003-09-01
76,221645245.2,2003-06-01
77,245573484.9,2003-03-01
78,201069945.9,2002-12-01
79,213181536.1,2002-09-01
80,163141520,2002-06-01
81,261928421.3,2002-03-01
82,318131561.4,2001-12-01
83,175985053,2001-09-01
84,165764927.5,2001-06-01
85,278942997.7,2001-03-01
86,297609685.6,2000-12-01
87,315532260.5,2000-09-01
88,307523050.8,2000-06-01
89,253290992.4,2000-03-01
90,292617790.9,1999-12-01
91,293675233.1,1999-09-01
92,221049047.4,1999-06-01
93,203128112,1999-03-01
94,235652500,1998-12-01
95,205041505.9,1998-09-01
96,201796580.9,1998-06-01
97,189298291.5,1998-03-01
98,220448202,1997-12-01
99,185795548.7,1997-09-01
100,211008660.1,1997-06-01
101,158538052.8,1997-03-01
102,174612503.3,1996-12-01
103,162818400.8,1996-09-01
104,168032148.7,1996-06-01
105,134765856.2,1996-03-01
106,174345659.8,1995-12-01
107,172907793.9,1995-09-01
108,155150085.3,1995-06-01
109,105965238.7,1995-03-01
110,145452138.5,1994-12-01
111,110566341.3,1994-09-01
112,137490263.5,1994-06-01
113,86308839.88,1994-03-01
114,130653297.4,1993-12-01
115,97864092.09,1993-09-01
116,138617908.1,1993-06-01
117,39111512.55,1993-03-01
118,127027137.4,1992-12-01
119,89535105.32,1992-09-01
120,94665273.06,1992-06-01
121,70302857.15,1992-03-01
122,72408877.55,1991-12-01
123,88527987.32,1991-09-01
124,124260319.5,1991-06-01
125,65983600,1991-03-01
126,129124179.3,1990-12-01
127,86946256.16,1990-09-01
128,119637198.7,1990-06-01
129,60344818.34,1990-03-01
130,128754952.5,1989-12-01
131,95665069.29,1989-09-01
132,156950161.9,1989-06-01
133,80046750,1989-03-01
134,187645452.3,1988-12-01
135,130107507.9,1988-09-01
136,187148482.5,1988-06-01
137,76155875,1988-03-01
138,180978289.3,1987-12-01
139,115186101.8,1987-09-01
140,169053164.3,1987-06-01
141,82870785.72,1987-03-01
142,175949257,1986-12-01
143,120388682.5,1986-09-01
144,179606615.8,1986-06-01
145,77939266.67,1986-03-01
146,174373014.8,1985-12-01
147,36853000,1985-09-01
