,0,1
0,1.55E+11,2022-06-01
1,1.94E+11,2022-03-01
2,2.13E+11,2021-12-01
3,1.99E+11,2021-09-01
4,1.94E+11,2021-06-01
5,1.74E+11,2021-03-01
6,1.67E+11,2020-12-01
7,1.48E+11,2020-09-01
8,1.34E+11,2020-06-01
9,1.03E+11,2020-03-01
10,1.13E+11,2019-12-01
11,1.00E+11,2019-09-01
12,99310877586,2019-06-01
13,97665251073,2019-03-01
14,85849334794,2018-12-01
15,1.01E+11,2018-09-01
16,96112337041,2018-06-01
17,90206748799,2018-03-01
18,90684832787,2017-12-01
19,84022040341,2017-09-01
20,78745639935,2017-06-01
21,74895768585,2017-03-01
22,68064407888,2016-12-01
23,68362877982,2016-09-01
24,62078968584,2016-06-01
25,61914574381,2016-03-01
26,62394581523,2015-12-01
27,57248429977,2015-09-01
28,58565607639,2015-06-01
29,57587662214,2015-03-01
30,55516883688,2014-12-01
31,54518369642,2014-09-01
32,52148082978,2014-06-01
33,48879041143,2014-03-01
34,44567533912,2013-12-01
35,39905663520,2013-09-01
36,36409411313,2013-06-01
37,34720793591,2013-03-01
38,32691273679,2012-12-01
39,34400715165,2012-09-01
40,32635449383,2012-06-01
41,33767775002,2012-03-01
42,29157073659,2011-12-01
43,26872088342,2011-09-01
44,28246176692,2011-06-01
45,28289866782,2011-03-01
46,27211433423,2010-12-01
47,24842596322,2010-09-01
48,22648440707,2010-06-01
49,25762215844,2010-03-01
50,24992677798,2009-12-01
51,23564715137,2009-09-01
52,21148855809,2009-06-01
53,18012160328,2009-03-01
54,17517056380,2008-12-01
55,21933827510,2008-09-01
56,24734311892,2008-06-01
57,25016427548,2008-03-01
58,28763748433,2007-12-01
59,29107179227,2007-09-01
60,27956076640,2007-06-01
61,26519312883,2007-03-01
62,26718371593,2006-12-01
63,26029592638,2006-09-01
64,23990735084,2006-06-01
65,25420266360,2006-03-01
66,25824708515,2005-12-01
67,24697770793,2005-09-01
68,23251281486,2005-06-01
69,22476882755,2005-03-01
70,23930183308,2004-12-01
71,21878227856,2004-09-01
72,23256418197,2004-06-01
73,22569449668,2004-03-01
74,23719476088,2003-12-01
75,21814476642,2003-09-01
76,19896156082,2003-06-01
77,16943307381,2003-03-01
78,16697218992,2002-12-01
79,15145363112,2002-09-01
80,17701333449,2002-06-01
81,21882068551,2002-03-01
82,22474776674,2001-12-01
83,18752632821,2001-09-01
84,22918840056,2001-06-01
85,20446754155,2001-03-01
86,23976266833,2000-12-01
87,29256067843,2000-09-01
88,35473767836,2000-06-01
89,41023593511,2000-03-01
90,35445489493,1999-12-01
91,26467445912,1999-09-01
92,24479825706,1999-06-01
93,22716569635,1999-03-01
94,20433554212,1998-12-01
95,14776440065,1998-09-01
96,15097291477,1998-06-01
97,14214671722,1998-03-01
98,11918947308,1997-12-01
99,12830275214,1997-09-01
100,11510450801,1997-06-01
101,9798020187,1997-03-01
102,9416731292,1996-12-01
103,8102309664,1996-09-01
104,7373415603,1996-06-01
105,6964828002,1996-03-01
106,6454667753,1995-12-01
107,6644719155,1995-09-01
108,6299530938,1995-06-01
109,4942856086,1995-03-01
110,4406411474,1994-12-01
111,4041017812,1994-09-01
112,3840053663,1994-06-01
113,4089188265,1994-03-01
114,4209384469,1993-12-01
115,4130717931,1993-09-01
116,3920374430,1993-06-01
117,4144481598,1993-03-01
118,4155097476,1992-12-01
119,3519036294,1992-09-01
120,3256797341,1992-06-01
121,3461922465,1992-03-01
122,3482363165,1991-12-01
123,3118072271,1991-09-01
124,2978952581,1991-06-01
125,3401546681,1991-03-01
126,2658061886,1990-12-01
127,2224931348,1990-09-01
128,2670578444,1990-06-01
129,2385549657,1990-03-01
130,2337848648,1989-12-01
131,2345371025,1989-09-01
132,2250642747,1989-06-01
133,2088402210,1989-03-01
134,2030124556,1988-12-01
135,2098569226,1988-09-01
136,2214112872,1988-06-01
137,2071803438,1988-03-01
138,1977528273,1987-12-01
139,2537134554,1987-09-01
140,2367271342,1987-06-01
141,2345019923,1987-03-01
142,1862463439,1986-12-01
143,1757834578,1986-09-01
144,2063790719,1986-06-01
145,2121892345,1986-03-01
146,1927385373,1985-12-01
147,1670492658,1985-09-01
