,0
2,15952505326205.0
3,19940092948101.0
4,21732334264014.0
5,20321563744320.0
6,19622917939867.0
7,17529272169139.0
8,16895554816896.0
9,14781516575398.0
10,13367792136086.0
11,10314223319941.0
12,11264756897752.0
13,10034310669128.0
14,9831776880979.0
15,9571194605197.0
16,8327385475028.0
17,9734310164661.0
18,9130672018936.0
19,8569641135914.0
20,8433689449179.0
21,7814049751695.0
22,7323344513992.0
23,6965306478364.0
24,6261925525654.0
25,6289384774377.0
26,5711265109750.0
27,5696140843020.0
28,5740301500160.0
29,5209607127943.0
30,5212339079864.0
31,5125301937073.0
32,4941002648199.0
33,4852134898115.0
34,4641179385011.0
35,4301355620600.0
36,3877375450382.0
37,3471792726259.0
38,3167618784241.0
39,3020709042424.0
40,2844140810114.0
41,2992862219339.0
42,2806648646967.0
43,2836493100180.0
44,2420037113657.0
45,2230383332368.0
46,2344432665475.0
47,2348058942937.0
48,2258548974072.0
49,2061935494755.0
50,1857172137986.0
51,2086739483390.0
52,1999414223826.0
53,1814483065563.0
54,1628461897322.0
55,1386936345281.0
56,1348813341282.0
57,1688904718286.0
58,1904542015699.0
59,1901248493676.0
60,2186044880889.0
61,2212145621227.0
62,2096705747971.0
63,1935909840463.0
64,1950441126287.0
65,1900160262559.0
66,1751323661160.0
67,1855679444297.0
68,1859379013096.0
69,1778239497093.0
70,1674092266962.0
71,1595858675613.0
72,1699043014893.0
73,1553354177779.0
74,1627949273817.0
75,1557292027065.0
76,1636643850046.0
77,1505198888292.0
78,1372834769642.0
79,1169088209279.0
80,1152108110417.0
81,1045030054731.0
82,1221392007949.0
83,1487980661437.0
84,1528284813856.0
85,1275179031802.0
86,1558481123822.0
87,1349485774238.0
88,1534481077330.0
89,1872388341924.0
90,2234847373685.0
91,2461415610683.0
92,2126729369596.0
93,1588046754724.0
94,1468789542377.0
95,1362994178071.0
96,1185146144322.0
97,857033523776.0
98,860545614195.0
99,796021616445.0
100,655542101933.0
101,692834861530.0
102,621564343271.0
103,519295069900.0
104,499086758466.0
105,429422412192.0
106,390791026952.0
107,362171056108.0
108,335642723163.0
109,338880676927.0
110,321276077831.0
111,252085660404.0
112,215914162215.0
113,189927837157.0
114,172802414846.0
115,184013471918.0
116,185212916655.0
117,181751588942.0
118,172496474918.0
119,174068227114.0
120,166203899023.0
121,140761451761.0
122,130271893644.0
123,131553053663.0
124,128847437103.0
125,106014457213.0
126,98305435161.0
127,105447947116.0
128,82399918475.0
129,66747940450.0
130,80117353315.0
131,71566489724.0
132,67797610779.0
133,65670388699.0
134,60767354163.0
135,56386859665.0
136,54813363011.0
137,56661369101.0
138,59781047535.0
139,55938692813.0
140,53393263368.0
141,68502632970.0
142,61549054889.0
143,58625498069.0
144,46561585965.0
145,43945864450.0
146,49530977265.0
147,48803523940.0
148,42402478195.0
149,36750838482.0
150,2190451389.0
151,1464793171.0
152,1293153081.0
